gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,early_tenure_flag,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group,num_services,charge_per_service,churn_probability,predicted_churn,actual_churn,risk_tier
1,0,1,1,1.6084834273893616,1,1,1.6299763471022684,2.7068275180093,0,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,2,0.3318851958904337,1.482536403703565,0.08097992,0,0,Low
0,1,0,0,-0.9966836022806536,1,1,1.1687252637656007,-0.6102604053986738,1,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,0,0.3318851958904337,1.0237842102573833,0.8776189,1,0,Critical
0,0,1,1,0.346605647392948,1,1,0.4453242841440638,0.4001160679612529,0,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,2,0.3318851958904337,0.3043023529101331,0.1879422,0,0,Low
1,0,1,0,-0.5896262538947137,1,0,0.4403467544677691,-0.3644510551386555,0,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,1,0.3318851958904337,0.2993517896715055,0.6693046,1,0,High
0,0,1,0,1.6084834273893616,1,1,0.5880134681978536,1.5884213016397044,0,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,2,0.3318851958904337,0.4462184990841323,0.048344508,0,0,Low
0,0,0,0,-0.4675090493789317,1,1,1.1587702044130104,-0.1346136083942828,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,1,0.3318851958904337,1.0138830837801271,0.7503375,1,0,Critical
0,0,0,0,-0.4675090493789317,1,1,1.135541732590301,-0.1504758147703979,0,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,1,0.3318851958904337,0.9907804553331976,0.7060257,1,0,High
1,0,0,1,-0.5489205190561197,1,1,-1.3548822821159523,-0.8162058151532963,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,1,0.3318851958904337,-1.486151351726945,0.2508215,0,0,Low
0,0,1,1,1.1607203441648275,1,0,-1.4992306427285067,-0.4334066770475485,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,2,0.3318851958904337,-1.629717685647153,0.036463004,0,0,Low
1,1,0,0,-0.6303319887333076,1,1,-0.6596873039934208,-0.6707912869916218,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,0.3318851958904337,-0.7947226860652529,0.51734847,1,1,High
